mod_variants,Ford Figo Ambiente petrol,Ford Figo Titanium petrol,Ford Figo Titanium AT petrol,Ford Figo Titanium Diesel,Ford Ecosport ambiente petrol,Ford Ecosport ambiente diesel,Ford Ecosport trend petrol,Ford Ecosport trend diesel,Ford Ecosport titanium petrol,Ford Ecosport titanium diesel,Honda City V MT Petrol,Honda City V CVT Petrol,Honda City VX MT Petrol,Honda City V MT Diesel,Honda City VX MT Diesel,Honda City ZX CVT Petrol,Honda City VX CVT Petrol,Honda Jazz VX MT Petrol,Honda Jazz ZX MT Petrol,Honda Jazz VX CVT Petrol,Honda Jazz ZX CVT Petrol,Hyundai grand i10 NIOS Magna MT Petrol,Hyundai grand i10 NIOS Magna AMT Petrol,Hyundai grand i10 NIOS Sportz MT Petrol,Hyundai grand i10 NIOS Sportz MT Diesel,Hyundai grand i10 NIOS Asta CRDi,Hyundai verna SX MT Petrol,Hyundai verna SX MT Diesel,Hyundai verna SX AT Diesel,Hyundai verna Splus MT Petrol,Hyundai verna SPlus MT Diesel,Mahindra Bolero Neo N8 MT Diesel,Mahindra Bolero Neo N10 MT Diesel,Mahindra Bolero Neo N4 MT Diesel,Mahindra XUV700 MX MT Petrol,Mahindra XUV700 MX MT Diesel,Mahindra XUV700 AX5 Automatic Petrol,Mahindra XUV700 AX5 Automatic Diesel,Mahindra XUV700 AX7 Automatic Petrol,Mahindra XUV700 AX7 Automatic Diesel,Maruti Suzuki Baleno Sigma MT Petrol,Maruti Suzuki Baleno Delta MT Petrol,Maruti Suzuki Baleno Zeta MT Petrol,Maruti Suzuki Baleno Zeta Automatic Petrol,Maruti Suzuki Baleno Delta Automatic Petrol,Maruti Suzuki Baleno Alpha MT Petrol,Maruti Suzuki Dzire LXI MT Petrol,Maruti Suzuki Dzire VXI MT Petrol,Tata Nexon XZ Petrol,Tata Nexon XM Petrol,Tata Nexon XMA AMT Petrol,Tata Nexon XM MT Diesel,Tata Nexon XMA AMT Diesel,Tata Tiago XT MT Petrol,Tata Tiago XZ MT Petrol,Tata Tiago XTA Automatic Petrol,Tata Tiago XZPlus MT Petrol,Toyota Innova 2.5 VX MT Diesel,Toyota Innova 2.5 ZX MT Diesel,Toyota Innova 2.5 GX MT Diesel,Toyota Urban Cruiser Mid MT Petrol,Toyota Urban Cruiser High MT Petrol,Toyota Urban Cruiser Premium MT Petrol,Toyota Urban Cruiser Premium Automatic Petrol,Toyota Urban Cruiser High Automatic Petrol
ssb_tyre_size,175 by 65 R14 tubeless,195 by 55 R15 tubeless,195 by 55 R15 tubeless,195 by 55 R15 tubeless,196 by 65 R15 tubeless,195 by 65 R15 tubeless,205 by 60 R16 tubeless radial,205 by 60 R16 tubeless radial,205 by 60 R16 tubeless radial,205 by 60 R16 tubeless radial,185 by 60 R15,185 by 60 R15,185 by 55 R16,185 by 60 R15,185 by 55 R16,185 by 55 R16,185 by 55 R16,175 by 65 R15 tubeless radial,175 by 65 R15 tubeless radial,175 by 65 R15 tubeless radial,175 by 65 R15 tubeless radial,165 by 70 R14 tubeless radial,165 by 70 R14 tubeless radial,165 by 70 R14 tubeless radial,165 by 70 R14 tubeless radial,175 by 60 R15 tubeless radial,195 by 55 R16 tubeless radial,195 by 55 R16 tubeless radial,195 by 55 R16 tubeless radial,195 by 55 R16 tubeless radial,195 by 55 R16 tubeless radial,215 by 75 R15 tubeless radial,215 by 75 R15 tubeless radial,215 by 75 R15 tubeless radial,235 by 65 R17 tubeless radial,235 by 65 R17 tubeless radial,235 by 65 R17 tubeless radial,235 by 65 R17 tubeless radial,235 by 60 R18 tubeless radial,235 by 60 R18 tubeless radial,185 by 65 R15 tubeless radial,185 by 65 R15 tubeless radial,195 by 55 R16 tubeless radial,195 by 55 R16 tubeless radial,185 by 65 R15 tubeless radial,195 by 55 R16 tubeless radial,165 by 80 R14 tubeless radial,165 by 80 R14 tubeless radial,195 by 60 R16 tubeless radial,195 by 60 R16 tubeless radial,195 by 60 R16 tubeless radial,195 by 60 R16 tubeless radial,195 by 60 R16 tubeless radial,175 by 65 R14 tubeless,175 by 65 R14 tubeless,175 by 65 R14 tubeless,175 by 65 R14 tubeless,205 by 65 R15 tubeless radial,205 by 65 R15 tubeless radial,205 by 65 R15 tubeless radial,205 by 60 R16 tubeless radial,215 by 60 R16 tubeless radial,215 by 60 R16 tubeless radial,215 by 60 R16 tubeless radial,215 by 60 R16 tubeless radial
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_rear_fog_lamp,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ext_outer_door_handles,,,,,,,,,,,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_front_radiator_grille_surround,Black,,Chrome surrond,,,,,,,,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Glossy black,Glossy black,Glossy black,Glossy black,Glossy black,Chrome,Chrome,Chrome,Chrome,Chrome,,,,,,,,,,,,,,,,,Chrome,,,,,,,,,,Chrome,Chrome,,Chrome,Chrome,Chrome,Chrome,Chrome
ext_front_radiator_grille_mesh,Black,Silver painted,Silver painted,Silver painted,Black Gloss,Black gloss,Silver finish,Silver finish,Chrome finish,Chrome finish,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Hyper silver,Hyper silver,Hyper silver,Hyper silver,Hyper silver,Chrome,Chrome,Chrome,Chrome,Chrome,,Chrome,,,,,,,,,Chrome,Chrome,Chrome,Chrome,Chrome,,,,,,,,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome
ext_orvm,manually adjustable,power adjustable,power adjustable,power adjustable,power adjustable,power adjustable,power adjustable,power adjustable,power adjustable and electric folding,power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power adjustable and electric folding,Power Adjustable,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable,Power Adjustable,manually adjustable,power adjustable,manually adjustable,power adjustable,power adjustable,power adjustable,power adjustable,power adjustable and electric folding,power adjustable and electric folding,manually adjustable,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,manually adjustable,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,power adjustable and electric folding,power adjustable,power adjustable and electric folding,power adjustable,power adjustable and electric folding,Power Adjustable,Power Adjustable,Power Adjustable,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding,Power Adjustable and electric folding
ext_bumper_applique,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_fog_lamp_bezel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_wheel_covers,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
ext_alloy_wheel,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
ext_front_fog_lamp,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
ext_bpillar_black_applique,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,
ext_rear_window_defogger,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ext_wiper,,,Rain sensing,,,,,,,,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,,,,,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,Intermittent Variable,,,,,,,,Rain sensing,Rain sensing,,,,,,,,,,,,,,,,,,,,,,,Rain sensing,Rain sensing,
ext_rear_washer_wiper,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes
ext_rear_spoiler,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
ext_roof_rails,,,,,,,,,Satin aluminium,Satin aluminium,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes
ext_roof_paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_se_badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_head_lamp,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable projector,adjustable projector,Adjustable projector,Adjustable projector,Adjustable projector,Adjustable projector,Adjustable projector,Adjustable projector,Adjustable projector,Adjustable halogen,Adjustable,Adjustable halogen,Adjustable,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable projector,adjustable projector,adjustable projector,adjustable projector,adjustable halogen,adjustable halogen,adjustable,adjustable,adjustable,adjustable halogen,adjustable halogen,adjustable LED,adjustable LED,adjustable halogen,adjustable halogen,adjustable halogen,adjustable projector,adjustable projector,adjustable,adjustable,adjustable projector,adjustable halogen,adjustable halogen,adjustable projector,adjustable projector,adjustable projector,adjustable projector,adjustable projector,adjustable halogen,adjustable halogen,adjustable halogen,adjustable halogen,adjustable,adjustable,adjustable,adjustable projector,adjustable projector,adjustable projector,adjustable projector,adjustable projector
ext_led_drl,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes
ext_trunk_opener,smart,smart,Smart,Smart,Lever,Lever,Lever,Lever,Lever,Lever,Smart,Smart,Smart,Smart,Smart,Smart,Smart,,,,,Remote,Remote,Remote,Remote,Remote,Remote,Remote,Remote,Remote,Remote,,,,,,,,,,Lever,Lever,Lever,Lever,Lever,Lever,Lever,Smart,,,,,,,,,,,,,Smart,Smart,Smart,Smart,Smart
ext_sunroof,,,,,,,,,,,No,No,No,No,Yes,Yes,Yes,,,,,No,No,No,No,No,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
ext_rear_applique,,,,,,,,,,,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_turn_signal_lamp,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_tail_lamp,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,LED,LED,LED,LED,LED,LED,LED,LED,LED,Yes,Yes,LED,LED,LED,LED,LED,LED,LED,LED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,LED,LED,LED,LED,LED
ext_antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Integrated antenna,Power antenna,Power antenna,Power antenna,,,,,,,Power antenna,Power antenna,Power antenna,Integrated antenna,Integrated antenna,Power antenna,Power antenna,Power antenna,Integrated antenna,power antenna,power antenna,power antenna,power antenna,power antenna,power antenna,power antenna,power antenna,Power antenna,Power antenna,,Power antenna,Power antenna,Power antenna,Power antenna,Power antenna
ext_indicator_on_door_mirror,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
ext_rear_led_wing_lamp,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
ext_front_cornering_lamp,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
ext_others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,side stepper,side stepper,,,,,,,,,,,,,,,,cornering fog lamps,,,,,Tinted glass,Tinted glass,Tinted glass,Tinted glass,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_design_color,Charcoal Black Interiors,Charcoal Black Interiors,Charcoal Black Interiors,Charcoal Black Interiors,"Ebony Black Cloth, Medium Light Stone Cloth, Ebony Black Cloth with Orange Copper Accents","Ebony Black Cloth, Medium Light Stone Cloth, Ebony Black Cloth with Orange Copper Accents","Ebony Black Cloth, Medium Light Stone Cloth, Ebony Black Cloth with Orange Copper Accents","Ebony Black Cloth, Medium Light Stone Cloth, Ebony Black Cloth with Orange Copper Accents","Ebony Black Cloth, Medium Light Stone Cloth, Ebony Black Cloth with Orange Copper Accents","Ebony Black Cloth, Medium Light Stone Cloth, Ebony Black Cloth with Orange Copper Accents","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Dual Dashboard, Premium Beige and Black Two Tone Colour Coordinated Interiors, Piano Black Instrument Panel Assistant side Garnish Finish","Front Console Garnish with Satin Silver Finish, Streering Wheel Satin Silver Garnish, Front Centre Panel with Premium Gloss Black Finish","Front Console Garnish with Satin Silver Finish, Streering Wheel Satin Silver Garnish, Front Centre Panel with Premium Gloss Black Finish","Front Console Garnish with Satin Silver Finish, Streering Wheel Satin Silver Garnish, Front Centre Panel with Premium Gloss Black Finish","Front Console Garnish with Satin Silver Finish, Streering Wheel Satin Silver Garnish, Front Centre Panel with Premium Gloss Black Finish","Sporty Black with Red Inserts, Sporty Black with Aqua Teal Inserts ","Sporty Black with Red Inserts, Sporty Black with Aqua Teal Inserts ","Sporty Black with Red Inserts, Sporty Black with Aqua Teal Inserts ","Sporty Black with Red Inserts, Sporty Black with Aqua Teal Inserts ","Sporty Black with Red Inserts, Sporty Black with Aqua Teal Inserts ",The new premium dual tone beige and black interiors and all black interiors with red accents turbo,The new premium dual tone beige and black interiors and all black interiors with red accents turbo,The new premium dual tone beige and black interiors and all black interiors with red accents turbo,The new premium dual tone beige and black interiors and all black interiors with red accents turbo,The new premium dual tone beige and black interiors and all black interiors with red accents turbo,"Dual Tone Dashboard, Premium Italian interiors,Piano black stylish centre console with silver accent,Colour accent on AC vents","Dual Tone Dashboard, Premium Italian interiors,Piano black stylish centre console with silver accent,Colour accent on AC vents","Dual Tone Dashboard, Premium Italian interiors,Piano black stylish centre console with silver accent,Colour accent on AC vents","Dual Tone Dashboard, MicroHybrid Technology,Personalized safety alerts,Curtain Airbags for all rows,Advanced Driver Assistance System,Smart clean zone","Dual Tone Dashboard, MicroHybrid Technology,Personalized safety alerts,Curtain Airbags for all rows,Advanced Driver Assistance System,Smart clean zone","Dual Tone Dashboard, MicroHybrid Technology,Personalized safety alerts,Curtain Airbags for all rows,Advanced Driver Assistance System,Smart clean zone","Dual Tone Dashboard, MicroHybrid Technology,Personalized safety alerts,Curtain Airbags for all rows,Advanced Driver Assistance System,Smart clean zone","Dual Tone Dashboard, MicroHybrid Technology,Personalized safety alerts,Curtain Airbags for all rows,Advanced Driver Assistance System,Smart clean zone","Dual Tone Dashboard, MicroHybrid Technology,Personalized safety alerts,Curtain Airbags for all rows,Advanced Driver Assistance System,Smart clean zone","Metal Finish Inside Door Handles, Metal Finish Tipped Parking Brake, Driver and Co Driver Visor, Rear Parcel Shelf","Driver and Co Driver Visor, Rear Parcel Shelf, Premium Black and Navy Fabric Seats","Driver and Co Driver Visor, Rear Parcel Shelf, Premium Black and Navy Fabric Seats","Driver and Co Driver Visor, Rear Parcel Shelf, Premium Black and Navy Fabric Seats","Driver and Co Driver Visor, Rear Parcel Shelf, Premium Black and Navy Fabric Seats","Driver and Co Driver Visor, Rear Parcel Shelf, Premium Black and Navy Fabric Seats","Dual Tone Interiors, Modern Wood Accent with Natural Gloss Finish","Dual Tone Interiors, Modern Wood Accent with Natural Gloss Finish","Tri arrow pattern with premium white finish on the dashboard mid pad, Dual Tone Dashboard","Tri arrow pattern with premium white finish on the dashboard mid pad, Dual Tone Dashboard","Tri arrow pattern with premium white finish on the dashboard mid pad, Dual Tone Dashboard","Tri arrow pattern with premium white finish on the dashboard mid pad, Dual Tone Dashboard","Tri arrow pattern with premium white finish on the dashboard mid pad, Dual Tone Dashboard","The dual tone front dashboard, new flat bottom steering wheel, and tri-arrow designed elegant upholstery offers an upgrade to the best-in-class interiors.","The dual tone front dashboard, new flat bottom steering wheel, tri-arrow designed elegant upholstery offers an upgrade to the best-in-class interiors.","The dual tone front dashboard, new flat bottom steering wheel, tri-arrow designed elegant upholstery offers an upgrade to the best-in-class interiors.","The dual tone front dashboard, new flat bottom steering wheel, tri-arrow designed elegant upholstery offers an upgrade to the best-in-class interiors.",,,,"Dual tone dashboard, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp","Dual tone dashboard, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp","Dual tone dashboard, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp","Dual tone dashboard, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp","Dual tone dashboard, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp"
int_seat_upholstery,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Premium Beige Fabric,Premium Beige Fabric,Premium Beige Fabric,Premium Beige Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric and  Leather,Fabric and  Leather,Fabric and  Leather,Fabric and  Leather,Fabric and  Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric and Leather,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Fabric,Premium Black Fabric,Leather,Black Fabric,,,,,
int_headrests,Adjustable,Adjustable,Adjustable,Adjustable,"Adjustable, front and rear","Adjustable, front and rear","Adjustable, front and rear","Adjustable, front and rear","Adjustable, front and rear","Adjustable, front and rear",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable
int_fuel_display,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
int_odometer,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
int_ac,Yes,Yes,Yes,Yes,Manual,Automatic,Automatic,Automatic,Automatic,Automatic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic","Manual, Fully Automatic",ECO Mode,ECO Mode,ECO Mode,,,,,,,Manual,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Manual,Manual,Automatic,Automatic,Automatic,Manual,Manual,Manual,Manual,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic
int_ac_vents,Front,Front,Front,Front,Front,Front,Front,Front,Front,Front,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front,Front,Front,Front,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,"first, second and third row","first, second and third row","first, second and third row","first, second and third row",Front,Front,Front,Front,Front,Front,Front,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear
int_steering_wheel,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,Adjustable,"Adjustable, Leather","Adjustable, Leather","Adjustable, Leather",Smooth Leather,Smooth Leather,Smooth Leather,Smooth Leather,Smooth Leather,Smooth Leather,Smooth Leather, Satin Silver Garnish, Satin Silver Garnish, Satin Silver Garnish, Satin Silver Garnish,Metal and fabric,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Garnish,Garnish,Garnish,Garnish,Garnish,Garnish,Garnish,Garnish,Garnish,Metal Finish,Metal Finish,Metal Finish,Metal Finish,Metal Finish,Leather wrapped,Leather wrapped,Leather wrapped,Flat Bottom,Flat Bottom,Flat Bottom,Flat Bottom,Flat Bottom,Flat Bottom,Flat Bottom,Flat Bottom,Flat Bottom,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT,URETHANE WITH SILVER ORNAMENT,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT,LEATHER WRAP WITH SILVER  AND  WOOD FINISH ORNAMENT
